,County,State,Average Rating,Hospitals,Emergency Services,County Beds
64,BARREN,KY,2.0,1.0,1.0,180.0
65,CLARK,KY,4.0,1.0,1.0,
66,HARRISON,KY,4.0,1.0,1.0,61.0
67,WHITLEY,KY,2.0,1.0,1.0,240.0
68,LETCHER,KY,3.0,1.0,1.0,90.0
69,RUSSELL,KY,,1.0,,25.0
70,ROWAN,KY,2.0,1.0,1.0,149.0
71,HART,KY,2.0,1.0,1.0,25.0
72,MONTGOMERY,KY,3.0,1.0,1.0,63.0
73,CARROLL,KY,4.0,1.0,1.0,25.0
74,FRANKLIN,KY,3.0,1.0,1.0,
75,HENDERSON,KY,2.0,1.0,1.0,205.0
76,LOGAN,KY,5.0,1.0,1.0,
0,FAIRFAX,VA,4.75,7.0,0.75,1252.0
1,NORFOLK CITY,VA,3.0,4.0,1.0,1185.0
2,RICHMOND CITY,VA,3.3333333333333335,4.0,1.0,555.0
3,VIRGINIA BEACH CITY,VA,4.0,3.0,0.5,436.0
4,PETERSBURG CITY,VA,2.0,3.0,1.0,
5,JAMES CITY,VA,4.5,3.0,1.0,185.0
6,TAZEWELL,VA,3.5,2.0,1.0,238.0
7,LOUDOUN,VA,4.5,2.0,1.0,167.0
8,HAMPTON CITY,VA,3.0,2.0,1.0,224.0
9,DANVILLE CITY,VA,2.0,2.0,1.0,
10,PORTSMOUTH CITY,VA,1.0,2.0,1.0,346.0
11,MONTGOMERY,VA,3.0,2.0,1.0,146.0
12,PRINCE WILLIAM,VA,3.5,2.0,1.0,243.0
13,SMYTH,VA,4.0,2.0,1.0,170.0
14,ARLINGTON,VA,5.0,2.0,1.0,357.0
15,NEWPORT NEWS CITY,VA,3.0,2.0,1.0,676.0
16,CHESTERFIELD,VA,2.5,2.0,1.0,130.0
17,MANASSAS CITY,VA,3.0,1.0,1.0,170.0
18,WARREN,VA,4.0,1.0,1.0,196.0
19,NEW KENT,VA,,1.0,,
20,ACCOMACK,VA,3.0,1.0,1.0,52.0
21,HANOVER,VA,4.0,1.0,1.0,225.0
22,GLOUCESTER,VA,3.0,1.0,1.0,67.0
23,ALBEMARLE,VA,5.0,1.0,1.0,176.0
24,STAUNTON CITY,VA,,1.0,,
25,WYTHE,VA,3.0,1.0,1.0,
26,FRANKLIN CITY,VA,2.0,1.0,1.0,
27,MECKLENBURG,VA,3.0,1.0,1.0,70.0
28,DICKENSON,VA,,1.0,,25.0
29,EMPORIA CITY,VA,4.0,1.0,1.0,
30,AUGUSTA,VA,4.0,1.0,1.0,255.0
31,HARRISONBURG CITY,VA,4.0,1.0,1.0,238.0
32,BUCHANAN,VA,4.0,1.0,1.0,134.0
33,SALEM CITY,VA,4.0,1.0,1.0,
34,FREDERICKSBURG CITY,VA,3.0,1.0,1.0,451.0
35,PRINCE EDWARD,VA,4.0,1.0,1.0,116.0
36,RUSSELL,VA,4.0,1.0,1.0,78.0
37,ROANOKE CITY,VA,2.0,1.0,1.0,703.0
38,CHESAPEAKE CITY,VA,3.0,1.0,1.0,
39,ESSEX,VA,3.0,1.0,1.0,67.0
40,GILES,VA,4.0,1.0,1.0,25.0
41,NORTON CITY,VA,5.0,1.0,1.0,129.0
42,WASHINGTON,VA,3.0,1.0,1.0,116.0
43,HALIFAX,VA,3.0,1.0,1.0,192.0
44,WINCHESTER CITY,VA,4.0,1.0,1.0,399.0
45,WISE,VA,3.0,1.0,1.0,60.0
46,HENRICO,VA,4.0,1.0,1.0,
47,SUFFOLK CITY,VA,4.0,1.0,1.0,168.0
48,CULPEPER,VA,4.0,1.0,1.0,70.0
49,STAFFORD,VA,4.0,1.0,1.0,100.0
50,SPOTSYLVANIA,VA,3.0,1.0,1.0,
51,HOPEWELL CITY,VA,2.0,1.0,1.0,
52,BEDFORD,VA,4.0,1.0,1.0,161.0
53,PAGE,VA,5.0,1.0,1.0,25.0
54,PULASKI,VA,2.0,1.0,1.0,
55,FRANKLIN,VA,3.0,1.0,1.0,37.0
56,GALAX CITY,VA,2.0,1.0,1.0,141.0
57,BATH,VA,3.0,1.0,1.0,25.0
58,ALLEGHANY,VA,4.0,1.0,1.0,
59,LEXINGTON CITY,VA,4.0,1.0,1.0,25.0
60,FAUQUIER,VA,2.0,1.0,1.0,97.0
61,ALEXANDRIA CITY,VA,5.0,1.0,1.0,318.0
62,LYNCHBURG CITY,VA,4.0,1.0,1.0,161.0
63,CHARLOTTESVILLE CITY,VA,2.0,1.0,1.0,
64,SHENANDOAH,VA,4.0,1.0,1.0,25.0
65,LANCASTER,VA,3.0,1.0,1.0,76.0
0,SIOUX,IA,4.0,4.0,1.0,50.0
1,POLK,IA,3.25,4.0,1.0,1528.0
2,DUBUQUE,IA,4.5,3.0,1.0,707.0
3,BLACK HAWK,IA,3.3333333333333335,3.0,1.0,740.0
4,CLINTON,IA,5.0,2.0,1.0,237.0
5,CARROLL,IA,4.0,2.0,1.0,159.0
6,STORY,IA,5.0,2.0,1.0,
7,WOODBURY,IA,1.5,2.0,1.0,468.0
8,OBRIEN,IA,4.0,2.0,1.0,39.0
9,JOHNSON,IA,4.0,2.0,1.0,234.0
10,MARION,IA,4.0,2.0,1.0,50.0
11,LINN,IA,4.5,2.0,1.0,879.0
12,CLAYTON,IA,,2.0,,25.0
13,PAGE,IA,2.5,2.0,1.0,25.0
14,BREMER,IA,4.0,2.0,1.0,25.0
15,CHEROKEE,IA,3.0,2.0,1.0,25.0
16,LEE,IA,4.0,2.0,1.0,121.0
17,FAYETTE,IA,,2.0,,50.0
18,BUCHANAN,IA,,2.0,,
19,POTTAWATTAMIE,IA,4.5,2.0,1.0,430.0
20,WRIGHT,IA,4.5,2.0,1.0,
21,SCOTT,IA,3.5,2.0,1.0,652.0
22,VAN BUREN,IA,,1.0,,
23,KOSSUTH,IA,4.0,1.0,1.0,
24,JONES,IA,5.0,1.0,1.0,25.0
25,CHICKASAW,IA,,1.0,,25.0
26,WAPELLO,IA,4.0,1.0,1.0,
27,LYON,IA,,1.0,,25.0
28,KEOKUK,IA,,1.0,,
29,FLOYD,IA,4.0,1.0,1.0,
30,HENRY,IA,4.0,1.0,1.0,
31,EMMET,IA,4.0,1.0,1.0,25.0
32,GUTHRIE,IA,,1.0,,
33,ADAIR,IA,,1.0,,
34,CLAY,IA,4.0,1.0,1.0,
35,CRAWFORD,IA,2.0,1.0,1.0,
36,UNION,IA,4.0,1.0,1.0,
37,WASHINGTON,IA,4.0,1.0,1.0,
38,WAYNE,IA,4.0,1.0,1.0,
39,HANCOCK,IA,4.0,1.0,1.0,
40,MUSCATINE,IA,4.0,1.0,1.0,80.0
41,PLYMOUTH,IA,5.0,1.0,1.0,
42,HAMILTON,IA,4.0,1.0,1.0,
43,CERRO GORDO,IA,3.0,1.0,1.0,350.0
44,ADAMS,IA,4.0,1.0,1.0,22.0
45,MAHASKA,IA,3.0,1.0,1.0,
46,DICKINSON,IA,5.0,1.0,1.0,
47,FRANKLIN,IA,,1.0,,
48,MONROE,IA,3.0,1.0,1.0,
49,SAC,IA,4.0,1.0,1.0,25.0
50,PALO ALTO,IA,,1.0,,
51,MONONA,IA,4.0,1.0,1.0,25.0
52,AUDUBON,IA,,1.0,,
53,APPANOOSE,IA,3.0,1.0,1.0,25.0
54,MITCHELL,IA,4.0,1.0,1.0,
55,SHELBY,IA,3.0,1.0,1.0,
56,GREENE,IA,,1.0,,
57,DELAWARE,IA,4.0,1.0,1.0,
58,HOWARD,IA,,1.0,,
59,WINNESHIEK,IA,4.0,1.0,1.0,
60,MARSHALL,IA,2.0,1.0,1.0,70.0
61,CALHOUN,IA,,1.0,,25.0
62,HUMBOLDT,IA,,1.0,,
63,RINGGOLD,IA,,1.0,,
64,POWESHIEK,IA,4.0,1.0,1.0,49.0
65,LUCAS,IA,,1.0,,
66,CLARKE,IA,3.0,1.0,1.0,
67,WEBSTER,IA,3.0,1.0,1.0,174.0
68,ALLAMAKEE,IA,,1.0,,
69,DES MOINES,IA,3.0,1.0,1.0,173.0
70,DALLAS,IA,,1.0,,
71,HARDIN,IA,,1.0,,
72,MADISON,IA,,1.0,,
73,JEFFERSON,IA,3.0,1.0,1.0,
74,OSCEOLA,IA,,1.0,,25.0
75,FREMONT,IA,,1.0,,25.0
76,BUENA VISTA,IA,4.0,1.0,1.0,
77,JACKSON,IA,,1.0,,
78,BOONE,IA,4.0,1.0,1.0,
79,HARRISON,IA,4.0,1.0,1.0,25.0
80,JASPER,IA,5.0,1.0,1.0,68.0
81,GRUNDY,IA,4.0,1.0,1.0,
82,DAVIS,IA,,1.0,,
83,IOWA,IA,,1.0,,
84,CASS,IA,4.0,1.0,1.0,
85,MONTGOMERY,IA,3.0,1.0,1.0,
86,POCAHONTAS,IA,,1.0,,
87,IDA,IA,,1.0,,25.0
88,BENTON,IA,4.0,1.0,1.0,83.0
89,DECATUR,IA,,1.0,,
0,JEFFERSON,AL,2.7142857142857144,10.0,1.0,2321.0
1,MOBILE,AL,2.25,6.0,1.0,1026.0
2,BALDWIN,AL,3.6666666666666665,4.0,1.0,220.0
3,MADISON,AL,2.0,3.0,1.0,
4,ETOWAH,AL,3.0,3.0,1.0,
5,TUSCALOOSA,AL,2.0,3.0,1.0,
6,MONTGOMERY,AL,3.0,3.0,1.0,349.0
7,CRENSHAW,AL,4.0,2.0,1.0,
8,COVINGTON,AL,3.0,2.0,1.0,99.0
9,CALHOUN,AL,2.0,2.0,1.0,338.0
10,TALLAPOOSA,AL,3.0,2.0,1.0,81.0
11,HOUSTON,AL,2.5,2.0,1.0,
12,ELMORE,AL,4.0,2.0,1.0,69.0
13,FRANKLIN,AL,4.0,2.0,1.0,100.0
14,COLBERT,AL,3.0,2.0,1.0,
15,ESCAMBIA,AL,3.0,2.0,1.0,49.0
16,CULLMAN,AL,2.0,2.0,1.0,115.0
17,FAYETTE,AL,4.5,2.0,1.0,71.0
18,TALLADEGA,AL,2.5,2.0,1.0,122.0
19,CLARKE,AL,2.0,2.0,1.0,
20,LIMESTONE,AL,3.0,1.0,1.0,
21,SUMTER,AL,,1.0,,
22,BLOUNT,AL,3.0,1.0,0.0,25.0
23,PIKE,AL,3.0,1.0,1.0,
24,LEE,AL,4.0,1.0,1.0,
25,CHILTON,AL,4.0,1.0,1.0,30.0
26,BIBB,AL,3.0,1.0,1.0,
27,WINSTON,AL,5.0,1.0,1.0,50.0
28,WALKER,AL,3.0,1.0,1.0,267.0
29,AUTAUGA,AL,5.0,1.0,1.0,
30,COFFEE,AL,4.0,1.0,1.0,
31,MARENGO,AL,3.0,1.0,1.0,
32,RUSSELL,AL,5.0,1.0,1.0,
33,CLAY,AL,4.0,1.0,1.0,
34,GENEVA,AL,4.0,1.0,1.0,
35,BUTLER,AL,2.0,1.0,1.0,
36,MONROE,AL,3.0,1.0,1.0,
37,DALE,AL,4.0,1.0,1.0,
38,BULLOCK,AL,,1.0,,
39,LAWRENCE,AL,4.0,1.0,1.0,
40,ST. CLAIR,AL,3.0,1.0,1.0,40.0
41,WASHINGTON,AL,,1.0,,
42,CONECUH,AL,4.0,1.0,1.0,
43,MARION,AL,4.0,1.0,1.0,57.0
44,MARSHALL,AL,2.0,1.0,1.0,
45,GREENE,AL,,1.0,,
46,SHELBY,AL,2.0,1.0,1.0,252.0
47,DALLAS,AL,2.0,1.0,1.0,
48,LAUDERDALE,AL,2.0,1.0,1.0,
49,JACKSON,AL,2.0,1.0,1.0,
50,HALE,AL,4.0,1.0,1.0,
51,BARBOUR,AL,3.0,1.0,1.0,
52,DE KALB,AL,2.0,1.0,1.0,
53,CHEROKEE,AL,,1.0,,
54,RANDOLPH,AL,,1.0,,
55,PICKENS,AL,3.0,1.0,1.0,56.0
56,MORGAN,AL,3.0,1.0,1.0,
57,WILCOX,AL,,1.0,,
58,CHOCTAW,AL,,1.0,,25.0
0,E. BATON ROUGE,LA,3.2,11.0,1.0,1758.0
1,LAFAYETTE,LA,3.8,10.0,0.8,886.0
2,ORLEANS,LA,1.6666666666666667,9.0,1.0,1019.0
3,ST. TAMMANY,LA,3.3333333333333335,9.0,1.0,205.0
4,JEFFERSON,LA,3.0,8.0,1.0,1863.0
5,CADDO,LA,2.25,8.0,1.0,1410.0
6,RAPIDES,LA,2.0,7.0,1.0,611.0
7,CALCASIEU,LA,2.75,6.0,1.0,670.0
8,OUACHITA,LA,2.6666666666666665,5.0,1.0,595.0
9,TANGIPAHOA,LA,2.0,5.0,1.0,
10,TERREBONNE,LA,3.0,4.0,1.0,
11,LAFOURCHE,LA,4.0,3.0,1.0,60.0
12,AVOYELLES,LA,3.0,3.0,1.0,
13,ASCENSION,LA,,2.0,,
14,ALLEN,LA,2.0,2.0,1.0,
15,JEFFRSON DAVIS,LA,1.0,2.0,1.0,49.0
16,MOREHOUSE,LA,2.0,2.0,1.0,
17,LASALLE,LA,3.0,2.0,1.0,
18,ST. MARY,LA,3.0,2.0,1.0,
19,VERMILION,LA,4.0,2.0,1.0,35.0
20,ST. JAMES,LA,,2.0,,
21,ACADIA,LA,3.0,2.0,1.0,140.0
22,RICHLAND,LA,3.0,2.0,1.0,
23,CALDWELL,LA,3.0,2.0,0.5,
24,VERNON,LA,2.0,2.0,1.0,
25,WEBSTER,LA,3.5,2.0,1.0,60.0
26,ST. MARTIN,LA,,2.0,,25.0
27,EVANGELINE,LA,3.5,2.0,1.0,180.0
28,ST. LANDRY,LA,3.0,2.0,1.0,
29,UNION,LA,,2.0,,20.0
30,LINCOLN,LA,3.0,2.0,1.0,
31,WASHINGTON,LA,2.0,2.0,1.0,92.0
32,BEAUREGARD,LA,3.0,2.0,1.0,60.0
33,CONCORDIA,LA,,1.0,,
34,ST. HELENA,LA,,1.0,,
35,WEST CARROLL,LA,3.0,1.0,1.0,
36,CLAIBORNE,LA,4.0,1.0,1.0,
37,ASSUMPTION,LA,,1.0,,15.0
38,CAMERON,LA,,1.0,,
39,WINN,LA,2.0,1.0,1.0,
40,ST. BERNARD,LA,2.0,1.0,1.0,
41,SABINE,LA,3.0,1.0,1.0,
42,EAST CARROLL,LA,3.0,1.0,1.0,
43,WEST FELICIANA,LA,,1.0,,
44,BIENVILLE,LA,,1.0,,
45,POINTE COUPEE,LA,,1.0,,
46,IBERIA,LA,3.0,1.0,1.0,
47,NATCHITOCHES,LA,3.0,1.0,1.0,96.0
48,BOSSIER,LA,,1.0,,
49,FRANKLIN,LA,3.0,1.0,1.0,
50,JACKSON,LA,3.0,1.0,1.0,
51,MADISON,LA,,1.0,,
52,RED RIVER,LA,,1.0,,25.0
53,ST. CHARLES,LA,4.0,1.0,1.0,
54,DE SOTO,LA,3.0,1.0,1.0,34.0
55,ST. JOHN BAPTIST,LA,,1.0,,
56,EAST FELICIANA,LA,,1.0,,
0,JOHNSON,KS,3.4,11.0,1.0,781.0
1,SEDGWICK,KS,3.75,6.0,0.75,1336.0
2,MCPHERSON,KS,4.0,3.0,1.0,95.0
3,BARTON,KS,3.0,3.0,1.0,49.0
4,SHAWNEE,KS,3.5,3.0,1.0,884.0
5,BARBER,KS,,2.0,,
6,WILSON,KS,3.5,2.0,1.0,
7,SUMNER,KS,,2.0,,
8,WYANDOTTE,KS,4.5,2.0,1.0,400.0
9,COWLEY,KS,2.5,2.0,1.0,25.0
10,FORD,KS,3.0,2.0,1.0,
11,NESS,KS,,2.0,,
12,RILEY,KS,3.0,2.0,1.0,150.0
13,LABETTE,KS,5.0,2.0,1.0,109.0
14,PAWNEE,KS,,2.0,,25.0
15,NEMAHA,KS,,2.0,,49.0
16,CHEROKEE,KS,,2.0,,25.0
17,BUTLER,KS,2.5,2.0,1.0,80.0
18,MIAMI,KS,4.0,2.0,1.0,39.0
19,WASHINGTON,KS,,2.0,,
20,LEAVENWORTH,KS,4.0,2.0,1.0,134.0
21,CRAWFORD,KS,3.0,2.0,1.0,168.0
22,SALINE,KS,3.0,2.0,1.0,369.0
23,RENO,KS,2.0,2.0,1.0,199.0
24,POTTAWATOMIE,KS,4.0,2.0,1.0,50.0
25,GEARY,KS,3.0,2.0,1.0,
26,HARVEY,KS,5.0,2.0,1.0,55.0
27,DICKINSON,KS,3.0,2.0,1.0,
28,MARION,KS,,2.0,,
29,GREENWOOD,KS,3.0,1.0,1.0,
30,CLARK,KS,,1.0,,
31,MITCHELL,KS,5.0,1.0,1.0,
32,ALLEN,KS,2.0,1.0,1.0,
33,SHERMAN,KS,3.0,1.0,1.0,
34,ANDERSON,KS,,1.0,,25.0
35,LINCOLN,KS,,1.0,,
36,GRANT,KS,3.0,1.0,1.0,45.0
37,NEOSHO,KS,3.0,1.0,1.0,
38,KIOWA,KS,,1.0,,35.0
39,LYON,KS,4.0,1.0,1.0,
40,DOUGLAS,KS,3.0,1.0,1.0,
41,CLOUD,KS,2.0,1.0,1.0,25.0
42,PRATT,KS,4.0,1.0,1.0,69.0
43,NORTON,KS,,1.0,,
44,COMANCHE,KS,,1.0,,
45,KINGMAN,KS,4.0,1.0,1.0,25.0
46,KEARNY,KS,,1.0,,
47,RUSSELL,KS,2.0,1.0,1.0,25.0
48,CLAY,KS,4.0,1.0,1.0,
49,RAWLINS,KS,,1.0,,
50,RICE,KS,,1.0,,
51,OTTAWA,KS,,1.0,,25.0
52,SEWARD,KS,2.0,1.0,1.0,80.0
53,GOVE,KS,,1.0,,
54,MORRIS,KS,4.0,1.0,0.0,
55,ELLSWORTH,KS,4.0,1.0,1.0,
56,MEADE,KS,4.0,1.0,1.0,
57,RUSH,KS,,1.0,,
58,OSBORNE,KS,,1.0,,
59,JEWELL,KS,,1.0,,
60,FINNEY,KS,1.0,1.0,1.0,132.0
61,SCOTT,KS,4.0,1.0,1.0,
62,STAFFORD,KS,,1.0,,
63,MARSHALL,KS,5.0,1.0,1.0,25.0
64,HARPER,KS,3.0,1.0,1.0,
65,PHILLIPS,KS,,1.0,,25.0
66,STANTON,KS,,1.0,,
67,LANE,KS,,1.0,,
68,REPUBLIC,KS,2.0,1.0,1.0,35.0
69,GRAHAM,KS,3.0,1.0,1.0,
70,CHAUTAUQUA,KS,,1.0,,
71,EDWARDS,KS,,1.0,,
72,ROOKS,KS,,1.0,,
73,CHEYENNE,KS,,1.0,,16.0
74,TREGO,KS,3.0,1.0,1.0,
75,SHERIDAN,KS,,1.0,,
76,HODGEMAN,KS,,1.0,,
77,HASKELL,KS,,1.0,,
78,ELLIS,KS,4.0,1.0,1.0,194.0
79,ATCHISON,KS,3.0,1.0,1.0,25.0
80,LOGAN,KS,,1.0,,
81,THOMAS,KS,4.0,1.0,1.0,25.0
82,STEVENS,KS,,1.0,,
83,GREELEY,KS,,1.0,,18.0
84,HAMILTON,KS,,1.0,,
85,JEFFERSON,KS,,1.0,,25.0
86,BROWN,KS,4.0,1.0,1.0,25.0
87,MONTGOMERY,KS,3.0,1.0,1.0,110.0
88,MORTON,KS,,1.0,,
89,SMITH,KS,4.0,1.0,1.0,25.0
90,FRANKLIN,KS,5.0,1.0,0.0,
91,WICHITA,KS,,1.0,,
92,JACKSON,KS,3.0,1.0,1.0,12.0
93,DECATUR,KS,,1.0,,25.0
0,OKLAHOMA,OK,3.5454545454545454,21.0,1.0,2109.0
1,TULSA,OK,3.6363636363636362,16.0,1.0,1967.0
2,COMANCHE,OK,2.0,4.0,1.0,
3,PONTOTOC,OK,4.0,3.0,1.0,156.0
4,CREEK,OK,3.0,3.0,1.0,25.0
5,CLEVELAND,OK,3.0,3.0,1.0,
6,CADDO,OK,,2.0,,46.0
7,LINCOLN,OK,,2.0,,25.0
8,GARFIELD,OK,4.0,2.0,1.0,183.0
9,CHEROKEE,OK,3.0,2.0,1.0,
10,KAY,OK,3.0,2.0,1.0,
11,PITTSBURG,OK,2.0,2.0,1.0,
12,CARTER,OK,4.0,2.0,1.0,212.0
13,CUSTER,OK,3.0,2.0,1.0,
14,WOODWARD,OK,4.0,2.0,1.0,
15,PAYNE,OK,3.5,2.0,1.0,
16,OKMULGEE,OK,3.0,2.0,1.0,66.0
17,OSAGE,OK,,2.0,,25.0
18,ROGERS,OK,4.0,2.0,1.0,
19,BLAINE,OK,,2.0,,25.0
20,WAGONER,OK,3.0,1.0,1.0,
21,KINGFISHER,OK,,1.0,,25.0
22,KIOWA,OK,3.0,1.0,1.0,
23,BECKHAM,OK,4.0,1.0,1.0,62.0
24,MAYES,OK,4.0,1.0,1.0,52.0
25,DEWEY,OK,,1.0,,
26,POTTAWATOMIE,OK,3.0,1.0,1.0,102.0
27,NOWATA,OK,,1.0,,25.0
28,WASHITA,OK,,1.0,,
29,MAJOR,OK,,1.0,,
30,MCCURTAIN,OK,,1.0,,
31,ADAIR,OK,5.0,1.0,1.0,67.0
32,WOODS,OK,,1.0,,
33,STEPHENS,OK,3.0,1.0,1.0,145.0
34,OKFUSKEE,OK,,1.0,,
35,TEXAS,OK,4.0,1.0,1.0,
36,MCCLAIN,OK,4.0,1.0,1.0,39.0
37,BRYAN,OK,2.0,1.0,1.0,
38,WASHINGTON,OK,3.0,1.0,1.0,140.0
39,PUSHMATAHA,OK,3.0,1.0,1.0,
40,LE FLORE,OK,3.0,1.0,1.0,
41,MURRAY,OK,,1.0,,
42,HASKELL,OK,,1.0,,
43,CRAIG,OK,4.0,1.0,1.0,
44,MARSHALL,OK,,1.0,,
45,CHOCTAW,OK,3.0,1.0,1.0,
46,LATIMER,OK,,1.0,,
47,CANADIAN,OK,3.0,1.0,1.0,75.0
48,BEAVER,OK,,1.0,,
49,CIMARRON,OK,,1.0,,
50,ATOKA,OK,,1.0,,
51,HUGHES,OK,4.0,1.0,1.0,
52,COAL,OK,,1.0,,20.0
53,HARPER,OK,,1.0,,
54,GREER,OK,,1.0,,
55,JOHNSTON,OK,,1.0,,25.0
56,ELLIS,OK,,1.0,,13.0
57,ROGER MILLS,OK,,1.0,,
58,NOBLE,OK,3.0,1.0,1.0,
59,OTTAWA,OK,3.0,1.0,1.0,117.0
60,JEFFERSON,OK,,1.0,,25.0
61,JACKSON,OK,2.0,1.0,1.0,
62,HARMON,OK,,1.0,,
63,PAWNEE,OK,,1.0,,14.0
64,GRADY,OK,4.0,1.0,1.0,
65,LOVE,OK,,1.0,,
66,DELAWARE,OK,3.0,1.0,1.0,58.0
67,SEMINOLE,OK,4.0,1.0,1.0,
68,GARVIN,OK,,1.0,,
69,MUSKOGEE,OK,1.0,1.0,1.0,
70,SEQUOYAH,OK,3.0,1.0,1.0,
71,LOGAN,OK,,1.0,,25.0
0,HENNEPIN,MN,3.7142857142857144,9.0,1.0,5313.0
1,ST. LOUIS,MN,3.8,8.0,0.6,1114.0
2,RAMSEY,MN,3.25,5.0,0.75,1671.0
3,STEARNS,MN,4.0,4.0,1.0,572.0
4,CROW WING,MN,4.0,3.0,1.0,204.0
5,ITASCA,MN,4.0,3.0,1.0,84.0
6,OTTER TAIL,MN,4.5,3.0,1.0,100.0
7,OLMSTED,MN,5.0,3.0,1.0,2120.0
8,WRIGHT,MN,5.0,3.0,0.0,101.0
9,BELTRAMI,MN,2.0,3.0,1.0,118.0
10,BROWN,MN,4.0,3.0,1.0,86.0
11,WABASHA,MN,,2.0,,43.0
12,KANDIYOHI,MN,4.0,2.0,1.0,136.0
13,SCOTT,MN,3.5,2.0,1.0,118.0
14,PENNINGTON,MN,3.0,2.0,1.0,36.0
15,DOUGLAS,MN,4.0,2.0,1.0,
16,LYON,MN,4.0,2.0,1.0,50.0
17,WATONWAN,MN,,2.0,,50.0
18,LINCOLN,MN,,2.0,,44.0
19,CARLTON,MN,4.0,2.0,1.0,36.0
20,RICE,MN,3.5,2.0,1.0,99.0
21,COTTONWOOD,MN,,2.0,,8.0
22,BIG STONE,MN,,2.0,,15.0
23,YELLOW MEDCINE,MN,,2.0,,29.0
24,TODD,MN,4.0,2.0,1.0,71.0
25,WASHINGTON,MN,4.5,2.0,0.5,183.0
26,LAC QUI PARLE,MN,,2.0,,12.0
27,MILLE LACS,MN,4.5,2.0,1.0,85.0
28,GOODHUE,MN,4.0,2.0,1.0,65.0
29,ANOKA,MN,4.0,2.0,1.0,573.0
30,MC LEOD,MN,4.0,2.0,1.0,115.0
31,POLK,MN,4.0,2.0,1.0,92.0
32,DAKOTA,MN,4.0,2.0,1.0,207.0
33,SWIFT,MN,,2.0,,
34,MAHNOMEN,MN,,1.0,,
35,ROSEAU,MN,,1.0,,15.0
36,MARTIN,MN,4.0,1.0,1.0,57.0
37,BECKER,MN,4.0,1.0,0.0,87.0
38,CHIPPEWA,MN,2.0,1.0,1.0,
39,NORMAN,MN,,1.0,,14.0
40,FREEBORN,MN,4.0,1.0,1.0,181.0
41,ROCK,MN,,1.0,,28.0
42,ISANTI,MN,4.0,1.0,1.0,86.0
43,GRANT,MN,,1.0,,10.0
44,KOOCHICHING,MN,,1.0,,25.0
45,BLUE EARTH,MN,4.0,1.0,1.0,272.0
46,KITTSON,MN,,1.0,,15.0
47,CASS,MN,,1.0,,
48,TRAVERSE,MN,,1.0,,25.0
49,WADENA,MN,4.0,1.0,1.0,49.0
50,LAKE,MN,,1.0,,25.0
51,SIBLEY,MN,,1.0,,20.0
52,POPE,MN,,1.0,,
53,MURRAY,MN,,1.0,,
54,STEVENS,MN,4.0,1.0,1.0,54.0
55,REDWOOD,MN,4.0,1.0,1.0,
56,PIPESTONE,MN,,1.0,,
57,WASECA,MN,,1.0,,25.0
58,JACKSON,MN,,1.0,,20.0
59,LAKE OF  WOODS,MN,,1.0,,15.0
60,PINE,MN,,1.0,,35.0
61,WILKIN,MN,3.0,1.0,1.0,25.0
62,KANABEC,MN,4.0,1.0,1.0,
63,NICOLLET,MN,,1.0,,
64,CLEARWATER,MN,,1.0,,25.0
65,AITKIN,MN,5.0,1.0,1.0,31.0
66,RENVILLE,MN,,1.0,,
67,COOK,MN,,1.0,,
68,LE SUEUR,MN,,1.0,,15.0
69,MORRISON,MN,3.0,1.0,1.0,49.0
70,CARVER,MN,4.0,1.0,1.0,109.0
71,WINONA,MN,4.0,1.0,1.0,99.0
72,NOBLES,MN,4.0,1.0,1.0,55.0
73,HUBBARD,MN,4.0,1.0,1.0,50.0
74,CHISAGO,MN,4.0,1.0,1.0,61.0
75,STEELE,MN,4.0,1.0,1.0,77.0
76,MARSHALL,MN,,1.0,,12.0
77,MEEKER,MN,,1.0,,
78,FARIBAULT,MN,,1.0,,43.0
0,KING,WA,3.9285714285714284,21.0,1.0,3146.0
1,SPOKANE,WA,3.5,7.0,1.0,917.0
2,PIERCE,WA,2.6,7.0,1.0,1339.0
3,SNOHOMISH,WA,2.5,5.0,1.0,485.0
4,YAKIMA,WA,3.0,4.0,1.0,431.0
5,GRANT,WA,3.5,4.0,1.0,
6,BENTON,WA,3.6666666666666665,4.0,1.0,141.0
7,CHELAN,WA,4.0,4.0,1.0,218.0
8,OKANOGAN,WA,3.0,3.0,1.0,
9,SKAGIT,WA,3.0,3.0,1.0,30.0
10,ISLAND,WA,3.0,2.0,1.0,
11,KITSAP,WA,3.0,2.0,1.0,297.0
12,KLICKITAT,WA,,2.0,,
13,LEWIS,WA,4.0,2.0,1.0,191.0
14,WHITMAN,WA,4.5,2.0,1.0,
15,CLALLAM,WA,4.0,2.0,1.0,
16,ADAMS,WA,,2.0,,
17,CLARK,WA,4.0,2.0,1.0,440.0
18,GRAYS HARBOR,WA,2.5,2.0,1.0,70.0
19,PACIFIC,WA,3.0,2.0,1.0,
20,STEVENS,WA,4.0,2.0,1.0,90.0
21,LINCOLN,WA,5.0,2.0,1.0,
22,THURSTON,WA,3.5,2.0,1.0,340.0
23,COWLITZ,WA,3.0,1.0,1.0,368.0
24,WALLA WALLA,WA,5.0,1.0,1.0,146.0
25,PEND OREILLE,WA,4.0,1.0,1.0,
26,WHATCOM,WA,4.0,1.0,1.0,253.0
27,KITTITAS,WA,4.0,1.0,1.0,
28,FRANKLIN,WA,4.0,1.0,1.0,35.0
