,State,County,First Doubling,Last Delta,Inv Tau,Tau,R Squared
1,Georgia,Cobb,9,45,0.12831736047814704,7.793177760777771,0.9420684409132759
55,Texas,Tarrant,7,49,0.12748771379500276,7.8438931112058095,0.885440180398117
683,Arizona,Pima,11,48,0.12737817814508204,7.85063826914696,0.8396145262937177
192,Tennessee,Davidson,5,0,0.12726640420878593,7.85753322895379,0.8637377671294214
2,Georgia,Gwinnett,11,32,0.1266452520246482,7.896071775398069,0.8981966312794344
108,Virginia,Chesapeake city,4,2,0.1264569685204431,7.907828344298317,0.7456072615788893
374,Pennsylvania,Chester,6,52,0.12571395670285626,7.95456627273016,0.8714109460959835
239,Ohio,Mahoning,3,29,0.12567939738445263,7.956753619218949,0.7981010998474073
706,Connecticut,New London,12,19,0.12534414523090065,7.978035177932456,0.8161894387934269
185,North Carolina,Granville,10,0,0.12527013630283523,7.982748558543454,0.5996394605002628
312,New York,Sullivan,4,15,0.12398966553167295,8.065188301879495,0.8977282118675595
584,Oklahoma,Wagoner,7,0,0.12394256656266689,8.068253125082638,0.6430093453158957
722,Delaware,Sussex,5,15,0.12366772330780536,8.086184278746922,0.9047186626756193
630,Maryland,Frederick,14,34,0.12270855750033584,8.149390884961411,0.7697891764012517
673,New Mexico,Bernalillo,8,44,0.12217694100971173,8.184850526913348,0.9696688527526981
485,Colorado,Denver,6,104,0.12180237206872575,8.21002073289476,0.8892526857627645
44,Georgia,Thomas,7,16,0.12152141016350358,8.22900259842713,0.7400006056981007
395,Pennsylvania,Carbon,5,7,0.12128085152817902,8.24532469387927,0.8116563765554885
581,Oklahoma,Cleveland,8,19,0.12124483333349195,8.247774131945349,0.8911696479154512
198,Tennessee,Sumner,2,13,0.12112376194600193,8.2560183397029,0.6969699198174869
716,Rhode Island,Providence,0,125,0.12042801870505628,8.303715453868993,0.4649456920203819
664,Massachusetts,Hampshire,6,13,0.12037368024698329,8.307463873732159,0.7564428174787398
274,Florida,Osceola,10,18,0.12008900331719402,8.327157128273232,0.8755034327047964
647,Idaho,Blaine,4,18,0.11984236625473783,8.34429451997295,0.5549328679154769
482,Colorado,Jefferson,11,50,0.1197723216898761,8.349174382619704,0.8896157860584843
539,Wisconsin,Milwaukee,1,67,0.11963282267313292,8.358910018634706,0.7531938615710789
550,Washington,Pierce,7,43,0.11963217465484091,8.358955296810155,0.94028583547969
60,Texas,Travis,5,1,0.1192195593093791,8.387885392236383,0.8249962740858732
54,Texas,Collin,9,28,0.11919307555706664,8.389749113581898,0.8483898063591915
617,New Jersey,Cape May,11,9,0.11897359695311609,8.405226248594214,0.6108398463237878
441,Louisiana,Ascension,4,4,0.11882023819084529,8.416074695910234,0.7835494989777063
328,Kentucky,Jefferson,11,34,0.11828078708640118,8.45445845122357,0.8675638598342185
360,Michigan,Lapeer,8,13,0.11803613532496991,8.471981882894257,0.7164027463418159
134,California,Santa Barbara,9,15,0.11798860861153666,8.475394461955052,0.8614019618350034
575,South Carolina,Sumter,6,9,0.11775206998933035,8.492419709399682,0.7873829102879439
111,Virginia,Hampton city,6,0,0.11761900317267954,8.502027504278997,0.5703347622667769
684,Arizona,Navajo,3,46,0.11747733791764742,8.512280050991691,0.8923514287663489
453,Louisiana,Lafayette,4,18,0.11704135522106214,8.543988559524516,0.4204451721139364
700,Connecticut,Litchfield,10,23,0.11700733214274876,8.5464729576092,0.82726528425698
436,Louisiana,Terrebonne,15,24,0.11655108668318323,8.579928582890568,0.7240515974232675
258,Florida,Lee,14,46,0.11624717444532198,8.602359625268654,0.8294981145854606
692,Vermont,Chittenden,10,12,0.1161998962605853,8.60585966236527,0.8595818569826984
361,Michigan,Hillsdale,8,2,0.11567048777886957,8.64524754068408,0.8292693858935202
351,Michigan,Livingston,5,7,0.11557278240276056,8.652556243866238,0.6541969960383864
298,New York,Ulster,12,38,0.11544562451772991,8.662086624568625,0.8178843690468034
580,Oklahoma,Oklahoma,4,68,0.1153616293685167,8.668393515885185,0.827795735313084
73,Texas,Webb,7,28,0.11519793110285692,8.680711453985477,0.8606091705981094
9,Georgia,Henry,10,14,0.11489372019382281,8.703695887930387,0.7765089652888921
109,Virginia,Frederick,10,8,0.11472097909798286,8.716801476614865,0.7600779986023775
560,Washington,Benton,6,25,0.1143423950896779,8.74566252714671,0.5708492474332014
414,Illinois,DuPage,1,68,0.11418221872199104,8.757931061357139,0.9400505941195353
308,New York,Putnam,4,35,0.11409642554598326,8.764516462410814,0.7631394957734707
150,Indiana,Madison,9,3,0.11408462410962546,8.765423104160702,0.8488585558871757
167,Indiana,Jackson,8,7,0.11401650697762183,8.770659850123906,0.6097091102043258
158,Indiana,Hancock,10,1,0.11391062750711399,8.778812143208917,0.8677889912667326
94,Virginia,Prince William,11,36,0.11382493918123976,8.785420903302503,0.909806480451994
629,Maryland,Howard,3,25,0.11336827040322679,8.820810235908274,0.8914751645370562
184,North Carolina,Cumberland,10,8,0.11311601100574013,8.840481476572352,0.834230616284129
480,Iowa,Scott,10,11,0.11272114172565113,8.871450241640316,0.8165423092579873
265,Florida,Pinellas,7,27,0.11109707799860666,9.001136825691686,0.8336311019172934
102,Virginia,Richmond city,12,7,0.1108829112481308,9.018522229834199,0.6609375502820539
590,Kansas,Wyandotte,11,32,0.11055564303332187,9.045218973567875,0.899883702208236
468,Louisiana,Allen,8,1,0.11042513803475526,9.055908987727591,0.7036157038071732
572,South Carolina,Richland,1,45,0.1104019971816886,9.057807155012782,0.9148394828906176
93,Virginia,Arlington,10,26,0.11001009651473982,9.09007474478503,0.9451548159030284
78,Texas,Hidalgo,1,11,0.10930092109460583,9.149053731527534,0.8374866272856655
462,Louisiana,St. Mary,8,8,0.10889104599332344,9.183491543109193,0.5384351729912195
321,New York,Steuben,8,7,0.10863533623188888,9.20510797578274,0.7306626918688355
510,Alabama,Chambers,8,21,0.1086217474362026,9.206259553017551,0.8495777107825006
66,Texas,Denton,3,28,0.10824240643394592,9.238523356465123,0.7399440247282999
407,Missouri,Jefferson,5,3,0.10735295225501304,9.315067531860105,0.6991532595127268
484,Colorado,El Paso,11,62,0.10667555565030362,9.374218806772662,0.7757090292712587
250,Ohio,Portage,4,8,0.10658608716032379,9.38208753733335,0.7683722535087065
685,Arizona,Coconino,6,24,0.10644311950709658,9.394688962806374,0.8298337753591195
596,Oregon,Multnomah,13,16,0.1049981295169957,9.523979185154277,0.8557594335627432
278,Florida,Brevard,9,6,0.1048101867043176,9.541057328913292,0.7985517047958726
675,New Mexico,Sandoval,15,31,0.10472812974274527,9.548532972529971,0.6822259912393817
619,New Jersey,Cumberland,10,31,0.10432849367153121,9.585109156741103,0.7384168758861072
